_id;Service;Prestations;Methode;Option;Supplément 1;Supplément 2
5d66a11808b3d612bd08663a;Coiffure afro;Box Braid court;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08663b;Coiffure afro;Box Braid Mi-long;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08663c;Coiffure afro;locks Twist;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08663d;Coiffure afro;Départ locks;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08663e;Coiffure afro;Box Braid long;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08663f;Coiffure afro;Finger twist;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086640;Coiffure afro;Entretienlocks;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086641;Coiffure afro;Tissage;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086642;Coiffure afro;Dépose d'extensions;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086643;Coiffure afro;Dépose tissage;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086644;Coiffure afro;Pose Extensions;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086645;Coiffure afro;Tresses couchées couchées demi-tête;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086646;Coiffure afro;Lissage brésilien;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086647;Coiffure afro;Lissage 100% naturel;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086648;Coiffure afro;Lissage au Tanin sans formol;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd086649;Coiffure afro;Coloration sur tissage;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08664b;Coiffure afro;Mèches sur tissage;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd08664a;Conciergerie administrative;Création / renouvellement de carte grise;par prestation;client;Forfait frais de déplacement;
5d66a11808b3d612bd08664c;Conciergerie administrative;Création / renouvellement de passeport & carte d'identité;par prestation;client;Forfait frais de déplacement;
5d66a11808b3d612bd08664f;Conciergerie administrative;Création / renouvellement de visa;par prestation;client;Forfait frais de déplacement;
5d66a11808b3d612bd08664d;Conciergerie Airbnb;Arrivée - Accueil / remise des clés, conseils;par prestation;client;Forfait frais de déplacement;
5d66a11808b3d612bd08664e;Conciergerie Airbnb;Ménage après location;de l'heure;client;Forfait frais de déplacement;
5d66a11808b3d612bd086650;Conciergerie Airbnb;Départ - Reprise clés, checkout;par prestation;client;Forfait frais de déplacement;
5d66a11808b3d612bd086653;Conciergerie Airbnb;Blanchisserie - lavage et remplacement des draps;"unitaire;par machine";client;Forfait frais de déplacement;
5d66a11808b3d612bd086651;Conducteur d'engin de chantier;Conducteur de mini pelle;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd086652;Conducteur d'engin de chantier;Conducteur de chargeuse pelleteuse;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd086654;Conducteur d'engin de chantier;Conducteur de mini compacteur;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd086655;Conducteur d'engin de chantier;Conducteur de finisseur;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd086656;Conducteur d'engin de chantier;Conducteur de chargeuse à pneus;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd086657;Conducteur d'engin de chantier;Conducteur de bouteur;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd086658;Conducteur d'engin de chantier;Conducteur de raboteuse;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd086659;Conducteur d'engin de chantier;Conducteur de pulvimixeur;"de l'heure;par jour";client;Forfait frais de déplacement;
5d66a11808b3d612bd08665a;Conducteur d'engin de chantier;Conducteur de pelle à chenille;"de l'heure;par jour";client;Forfait frais de déplacement;
