categorie;service;prestation;eligible_cesu;privée
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds complète (gommage, modelage) + vernis semi-permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds et gel;0;0
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds et vernis;0;0
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds et vernis semi-permanent;0;0
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds express ;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté des pieds semi-pérmanent;0;1
Beauté & bien-être;Beauté des mains et pieds;Beauté pieds Brézilienne( limage,cuticule, modelage, gommage;0;1
Beauté & bien-être;Beauté des mains et pieds;Bréziienne+ semi;0;1
Beauté & bien-être;Beauté des mains et pieds;Brézilienne+ vernis;0;1
Beauté & bien-être;Beauté des mains et pieds;Depose + pose de vernis semi permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Depose d'ongles en gel;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose + pose de vernis semi permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose + soin ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose + soins;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose + soins;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose +soin;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose complète main ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose et repose de semi permanent pieds ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose et repose vernis semi permanent mains ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose gel;0;0
Beauté & bien-être;Beauté des mains et pieds;Dépose gel ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose gel + soins ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose gel + soins ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose gel/résine;0;0
Beauté & bien-être;Beauté des mains et pieds;Dépose semi permanent;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose semi permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose semi permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose semi permanent ongle naturel ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose semi permanent plus pose ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose semi-permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose semi-permanent + soins;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose vernis semi permanent+ repose vernis semi permanent pieds;0;1
Beauté & bien-être;Beauté des mains et pieds;Dépose vernis semipermanent+ soins pieds;0;1
Beauté & bien-être;Beauté des mains et pieds;Extension au chablon ;0;1
Beauté & bien-être;Beauté des mains et pieds;Extension cils mixte;0;1
Beauté & bien-être;Beauté des mains et pieds;Extension de cil volume Russe;0;1
Beauté & bien-être;Beauté des mains et pieds;Extension de cils volume russe ;0;1
Beauté & bien-être;Beauté des mains et pieds;Extensions cil à cil;0;1
Beauté & bien-être;Beauté des mains et pieds;Extensions de cil à cil;0;1
Beauté & bien-être;Beauté des mains et pieds;FORFAIT DEPLACEMENT de 0km à 5km;0;1
Beauté & bien-être;Beauté des mains et pieds;FORFAIT DEPLACEMENT de 10km à 15km;0;1
Beauté & bien-être;Beauté des mains et pieds;FORFAIT DEPLACEMENT de 15km à 20km;0;1
Beauté & bien-être;Beauté des mains et pieds;FORFAIT DEPLACEMENT de 20km à 25km;0;1
Beauté & bien-être;Beauté des mains et pieds;FORFAIT DEPLACEMENT de 25km à 30km;0;1
Beauté & bien-être;Beauté des mains et pieds;FORFAIT DEPLACEMENT de 5km à 10km;0;1
Beauté & bien-être;Beauté des mains et pieds;FORFAIT pose complète mains semi p pied ;0;1
Beauté & bien-être;Beauté des mains et pieds;Forfait gel mains et pieds ;0;1
Beauté & bien-être;Beauté des mains et pieds;Forfait semi permanent mains et pieds ;0;1
Beauté & bien-être;Beauté des mains et pieds;Forfaits VSP Mains + Vsp Pieds;0;1
Beauté & bien-être;Beauté des mains et pieds;Frais déplacement au delà 15km;0;1
Beauté & bien-être;Beauté des mains et pieds;Gainage ongles naturels;0;1
Beauté & bien-être;Beauté des mains et pieds;Gainage sur ongle naturel + vernis semi permanent ;0;1
Beauté & bien-être;Beauté des mains et pieds;Gel ongle naturel(main ou pied);0;1
Beauté & bien-être;Beauté des mains et pieds;Manucure ;0;1
